region	chr	midPos	Nsites
(544,3573)(175745,179712)(150000,200000)	JASDQU010105857.1	175000	3031	0.399672
(545,991)(60212,60659)(50000,100000)	JASDQU010105888.1	75000	448	0.020865
(330,415)(78383,78485)(50000,100000)	JASDQU010105902.1	75000	87	0.055612
(812,1986)(300225,301448)(300000,350000)	JASDQU010105909.1	325000	1176	0.204887
(45,2255)(122070,137316)(100000,150000)	JASDQU010105956.1	125000	2212	0.803644
(1132,1773)(226518,227209)(200000,250000)	JASDQU010105996.1	225000	643	0.724848
(989,1809)(71773,72606)(50000,100000)	JASDQU010105997.1	75000	822	0.353800
(1810,2031)(112987,113255)(100000,150000)	JASDQU010105997.1	125000	223	0.021375
(200,296)(193452,193770)(150000,200000)	JASDQU010106001.1	175000	98	0.110237
(297,623)(247245,247583)(200000,250000)	JASDQU010106001.1	225000	328	0.013053
(9,257)(126682,127446)(100000,150000)	JASDQU010106006.1	125000	250	0.083291
(258,781)(232534,233079)(200000,250000)	JASDQU010106006.1	225000	525	0.061892
(782,1360)(298405,299999)(250000,300000)	JASDQU010106006.1	275000	580	0.069220
(911,973)(82740,82809)(50000,100000)	JASDQU010106011.1	75000	64	0.075730
(334,677)(134012,134371)(100000,150000)	JASDQU010106054.1	125000	345	0.085349
(318,360)(87632,87692)(50000,100000)	JASDQU010106062.1	75000	44	0.054125
(2830,3591)(67655,68912)(50000,100000)	JASDQU010106083.1	75000	763	0.114753
(1276,1815)(77567,78157)(50000,100000)	JASDQU010106093.1	75000	541	0.696835
(474,1601)(60089,64813)(50000,100000)	JASDQU010106116.1	75000	1129	0.368456
(204,358)(101075,101229)(100000,150000)	JASDQU010106170.1	125000	156	0.023351
(660,666)(165891,165899)(150000,200000)	JASDQU010106203.1	175000	8	0.057053
(495,673)(53992,54338)(50000,100000)	JASDQU010106214.1	75000	180	0.037832
(1363,2503)(105620,134459)(100000,150000)	JASDQU010106217.1	125000	1142	0.464344
(146,2779)(59373,83599)(50000,100000)	JASDQU010106237.1	75000	2635	0.786069
(1671,2379)(137288,138039)(100000,150000)	JASDQU010106277.1	125000	710	0.479422
(956,1040)(121599,121718)(100000,150000)	JASDQU010106348.1	125000	86	0.120370
(423,2087)(91206,92916)(50000,100000)	JASDQU010106355.1	75000	1666	0.283379
(1213,3788)(91941,98921)(50000,100000)	JASDQU010106386.1	75000	2577	0.324164
(392,1019)(133377,134018)(100000,150000)	JASDQU010106459.1	125000	629	0.362139
(546,565)(99977,99999)(50000,100000)	JASDQU010106462.1	75000	21	0.046467
(306,537)(78731,79538)(50000,100000)	JASDQU010106466.1	75000	233	0.052612
(538,1133)(120359,121228)(100000,150000)	JASDQU010106466.1	125000	597	0.582620
(1134,1219)(185967,186101)(150000,200000)	JASDQU010106466.1	175000	87	0.047088
(914,1829)(132632,133562)(100000,150000)	JASDQU010106495.1	125000	917	0.240868
(1213,6423)(50000,56370)(50000,100000)	JASDQU010106513.1	75000	5212	0.693269
(1506,2058)(54477,55075)(50000,100000)	JASDQU010106522.1	75000	554	0.676993
(747,1536)(70348,71272)(50000,100000)	JASDQU010106523.1	75000	791	0.303880
(152,201)(58083,69523)(50000,100000)	JASDQU010106536.1	75000	51	0.743353
(1165,1983)(221598,222436)(200000,250000)	JASDQU010106547.1	225000	820	0.824613
(1179,2124)(153792,154754)(150000,200000)	JASDQU010106558.1	175000	947	0.435395
(1970,2002)(123166,123219)(100000,150000)	JASDQU010106565.1	125000	34	0.029978
(117,3926)(55272,60254)(50000,100000)	JASDQU010106570.1	75000	3811	0.531376
(3172,3268)(55012,55127)(50000,100000)	JASDQU010106587.1	75000	98	0.045615
(691,699)(100000,100009)(100000,150000)	JASDQU010106632.1	125000	10	0.041768
(299,329)(101643,101713)(100000,150000)	JASDQU010106652.1	125000	32	0.049643
(2400,3286)(337709,338610)(300000,350000)	JASDQU010106661.1	325000	888	0.115758
(3596,3812)(112498,112888)(100000,150000)	JASDQU010106678.1	125000	218	0.573424
(1367,1914)(50000,50552)(50000,100000)	JASDQU010106681.1	75000	549	0.678038
(44,491)(335938,336422)(300000,350000)	JASDQU010106701.1	325000	449	0.083257
(132,162)(161366,161475)(150000,200000)	JASDQU010106780.1	175000	32	0.089262
(639,784)(100000,100145)(100000,150000)	JASDQU010106784.1	125000	147	-0.000771
(1588,2152)(66916,68692)(50000,100000)	JASDQU010106828.1	75000	566	0.102037
(1005,1021)(125826,125858)(100000,150000)	JASDQU010106847.1	125000	18	0.094964
(1197,2732)(113657,117601)(100000,150000)	JASDQU010106878.1	125000	1537	0.042891
(137,1256)(134993,136207)(100000,150000)	JASDQU010106887.1	125000	1121	0.586256
(596,1361)(52743,69635)(50000,100000)	JASDQU010106936.1	75000	767	0.306189
(1362,2275)(270616,271546)(250000,300000)	JASDQU010106936.1	275000	915	0.131992
(2213,2222)(233420,233439)(200000,250000)	JASDQU010106980.1	225000	11	0.042611
(252,1038)(109780,140374)(100000,150000)	JASDQU010106981.1	125000	788	0.407978
(1378,2624)(56787,75735)(50000,100000)	JASDQU010106993.1	75000	1248	0.486447
(1275,2466)(250000,251408)(250000,300000)	JASDQU010107006.1	275000	1193	0.440425
(16,600)(110567,111170)(100000,150000)	JASDQU010107073.1	125000	586	0.594857
(326,542)(60747,61065)(50000,100000)	JASDQU010107139.1	75000	218	0.065313
(352,743)(205357,213571)(200000,250000)	JASDQU010107148.1	225000	393	0.232661
(744,800)(341576,341633)(300000,350000)	JASDQU010107148.1	325000	58	0.063476
(746,4043)(50000,92688)(50000,100000)	JASDQU010107151.1	75000	3299	0.760187
(366,556)(161143,161406)(150000,200000)	JASDQU010107158.1	175000	192	0.577307
(655,931)(97775,98491)(50000,100000)	JASDQU010107187.1	75000	278	0.389953
(486,750)(80041,80309)(50000,100000)	JASDQU010107188.1	75000	266	0.034644
(960,1558)(90007,90661)(50000,100000)	JASDQU010107242.1	75000	600	0.367107
(1172,1783)(61191,61817)(50000,100000)	JASDQU010107255.1	75000	613	0.333040
(195,1813)(188584,197813)(150000,200000)	JASDQU010107320.1	175000	1620	0.612351
(2730,3040)(58572,92987)(50000,100000)	JASDQU010107329.1	75000	312	0.012257
(654,833)(123349,123562)(100000,150000)	JASDQU010107333.1	125000	181	0.016305
(24,214)(84323,84522)(50000,100000)	JASDQU010107340.1	75000	192	0.176333
(8,110)(219054,219167)(200000,250000)	JASDQU010107350.1	225000	104	0.044279
(780,817)(271493,271559)(250000,300000)	JASDQU010107355.1	275000	39	0.827969
(818,1606)(363030,387502)(350000,400000)	JASDQU010107355.1	375000	790	0.697876
(1786,4350)(119155,127952)(100000,150000)	JASDQU010107361.1	125000	2566	0.467494
(153,474)(112708,126220)(100000,150000)	JASDQU010107392.1	125000	323	0.049924
(651,1261)(100000,100615)(100000,150000)	JASDQU010107461.1	125000	612	0.453633
(1907,2116)(62673,63078)(50000,100000)	JASDQU010107484.1	75000	211	0.163250
(2347,3050)(50000,96365)(50000,100000)	JASDQU010107490.1	75000	705	0.406690
(513,2618)(60293,83903)(50000,100000)	JASDQU010107496.1	75000	2107	0.270882
(2022,2489)(51950,99965)(50000,100000)	JASDQU010107497.1	75000	469	0.091389
(2252,3229)(63430,64416)(50000,100000)	JASDQU010107503.1	75000	979	0.810413
(3230,3434)(138679,138935)(100000,150000)	JASDQU010107503.1	125000	206	0.004681
(119,393)(187502,187783)(150000,200000)	JASDQU010107510.1	175000	276	0.027831
(436,657)(125295,125517)(100000,150000)	JASDQU010107513.1	125000	223	0.009594
(1211,1690)(155796,156341)(150000,200000)	JASDQU010107541.1	175000	481	0.100082
(43,43)(225032,225032)(200000,250000)	JASDQU010107546.1	225000	2	0.050454
(733,1712)(58937,69935)(50000,100000)	JASDQU010107549.1	75000	981	0.265947
(1713,2668)(240240,241203)(200000,250000)	JASDQU010107549.1	225000	957	0.639684
(6,4123)(187701,195764)(150000,200000)	JASDQU010107579.1	175000	4119	0.299292
(393,1041)(138063,139951)(100000,150000)	JASDQU010107603.1	125000	650	0.678971
(1042,1386)(156221,156582)(150000,200000)	JASDQU010107603.1	175000	346	0.035943
(1387,1679)(227619,227942)(200000,250000)	JASDQU010107603.1	225000	294	0.061838
(1680,3695)(254878,283518)(250000,300000)	JASDQU010107603.1	275000	2017	0.295450
(408,511)(57422,57533)(50000,100000)	JASDQU010107624.1	75000	105	0.050309
(2114,2245)(80898,81036)(50000,100000)	JASDQU010107633.1	75000	133	0.101284
(2246,2251)(123003,123009)(100000,150000)	JASDQU010107633.1	125000	7	0.050765
(124,469)(111757,113672)(100000,150000)	JASDQU010107665.1	125000	347	0.241209
(624,10530)(126240,145588)(100000,150000)	JASDQU010107682.1	125000	9908	0.695903
(2842,2944)(151772,194867)(150000,200000)	JASDQU010107804.1	175000	104	0.123135
(389,572)(264955,265195)(250000,300000)	JASDQU010107820.1	275000	185	0.073482
(368,1354)(106894,107913)(100000,150000)	JASDQU010107839.1	125000	988	0.562473
(400,958)(64819,65400)(50000,100000)	JASDQU010107883.1	75000	560	0.337753
(407,519)(92698,92836)(50000,100000)	JASDQU010107884.1	75000	114	0.820327
(561,1215)(67342,68004)(50000,100000)	JASDQU010107903.1	75000	656	0.208869
(1650,2696)(66332,69638)(50000,100000)	JASDQU010107926.1	75000	1048	0.899867
(1114,1282)(169118,169414)(150000,200000)	JASDQU010108008.1	175000	170	0.082330
(123,496)(52658,55924)(50000,100000)	JASDQU010108038.1	75000	375	0.095112
(2977,3091)(107382,107590)(100000,150000)	JASDQU010108071.1	125000	116	0.039730
(10,211)(190778,192127)(150000,200000)	JASDQU010108075.1	175000	203	0.097901
(142,2069)(82967,86027)(50000,100000)	JASDQU010108077.1	75000	1929	0.394571
(241,888)(200044,201055)(200000,250000)	JASDQU010108087.1	225000	649	0.488499
(205,545)(93912,94282)(50000,100000)	JASDQU010108112.1	75000	342	0.047655
(519,611)(153391,153489)(150000,200000)	JASDQU010108127.1	175000	94	0.091434
(110,1693)(63041,96476)(50000,100000)	JASDQU010108138.1	75000	1585	0.219412
(450,2170)(81470,84116)(50000,100000)	JASDQU010108151.1	75000	1722	0.054582
(3371,4161)(83650,84448)(50000,100000)	JASDQU010108156.1	75000	792	0.755234
(1387,2238)(113682,114574)(100000,150000)	JASDQU010108173.1	125000	853	0.359194
(49,372)(88159,88498)(50000,100000)	JASDQU010108195.1	75000	325	0.170916
(614,674)(77105,77178)(50000,100000)	JASDQU010108213.1	75000	62	0.060251
(1347,1557)(114071,114495)(100000,150000)	JASDQU010108224.1	125000	212	0.038195
(1558,2091)(165624,168432)(150000,200000)	JASDQU010108224.1	175000	535	0.010407
(99,119)(226165,226189)(200000,250000)	JASDQU010108254.1	225000	22	0.126565
(1064,1968)(285117,286070)(250000,300000)	JASDQU010108277.1	275000	906	0.555125
(481,911)(101194,101758)(100000,150000)	JASDQU010108286.1	125000	432	0.118192
(178,347)(56520,56689)(50000,100000)	JASDQU010108287.1	75000	171	0.488138
(348,780)(158104,158574)(150000,200000)	JASDQU010108287.1	175000	434	0.935376
(352,768)(127942,129830)(100000,150000)	JASDQU010108312.1	125000	418	0.054172
(617,1183)(131995,132600)(100000,150000)	JASDQU010108330.1	125000	568	0.438135
(62,396)(110031,123653)(100000,150000)	JASDQU010108365.1	125000	336	0.324833
(516,1662)(100240,149999)(100000,150000)	JASDQU010108386.1	125000	1148	0.094488
(180,567)(134407,134845)(100000,150000)	JASDQU010108391.1	125000	389	0.165123
(4,284)(129135,129708)(100000,150000)	JASDQU010108447.1	125000	282	0.270954
(850,861)(71043,71054)(50000,100000)	JASDQU010108451.1	75000	13	0.087728
(679,850)(315128,315317)(300000,350000)	JASDQU010108455.1	325000	173	0.117546
(175,505)(59245,59596)(50000,100000)	JASDQU010108491.1	75000	332	0.081985
(506,1201)(340991,344091)(300000,350000)	JASDQU010108491.1	325000	697	0.055481
(1752,2215)(80005,80578)(50000,100000)	JASDQU010108501.1	75000	465	0.015607
(94,436)(74413,74771)(50000,100000)	JASDQU010108508.1	75000	344	0.096692
(1112,3099)(66723,68984)(50000,100000)	JASDQU010108575.1	75000	1989	0.632469
(363,628)(81092,83192)(50000,100000)	JASDQU010108591.1	75000	267	0.171775
(772,2154)(257944,279752)(250000,300000)	JASDQU010108604.1	275000	1384	0.478233
(2029,2356)(69952,70285)(50000,100000)	JASDQU010108623.1	75000	329	0.965055
(576,622)(51112,51207)(50000,100000)	JASDQU010108665.1	75000	48	0.058351
(623,899)(103528,126980)(100000,150000)	JASDQU010108665.1	125000	278	0.511555
(900,3156)(165079,168991)(150000,200000)	JASDQU010108665.1	175000	2258	0.267677
(384,792)(132725,136235)(100000,150000)	JASDQU010108668.1	125000	410	0.805808
(1217,1564)(181056,181561)(150000,200000)	JASDQU010108700.1	175000	349	0.035562
(2210,2702)(197491,197986)(150000,200000)	JASDQU010108754.1	175000	494	0.000586
(345,805)(166668,167186)(150000,200000)	JASDQU010108758.1	175000	462	0.622147
(19,951)(198871,199808)(150000,200000)	JASDQU010108781.1	175000	934	0.164838
(2459,3443)(83668,89268)(50000,100000)	JASDQU010108820.1	75000	986	0.301616
(110,171)(84905,84992)(50000,100000)	JASDQU010108849.1	75000	63	-0.025935
(919,994)(57620,57755)(50000,100000)	JASDQU010108896.1	75000	77	0.036472
(495,2726)(65666,68500)(50000,100000)	JASDQU010108900.1	75000	2233	0.604643
(988,1125)(84006,84148)(50000,100000)	JASDQU010108918.1	75000	139	0.020170
(355,622)(66063,66357)(50000,100000)	JASDQU010108945.1	75000	269	0.176378
(1338,1384)(65851,65911)(50000,100000)	JASDQU010108955.1	75000	48	0.083163
(1032,1602)(123284,123916)(100000,150000)	JASDQU010109025.1	125000	572	0.081179
(1663,1777)(171310,171446)(150000,200000)	JASDQU010109088.1	175000	116	0.087222
(59,976)(55330,95332)(50000,100000)	JASDQU010109100.1	75000	919	0.032743
(761,1700)(203489,204452)(200000,250000)	JASDQU010109150.1	225000	941	0.550396
(576,2265)(100003,116183)(100000,150000)	JASDQU010109171.1	125000	1691	0.637850
(1695,2875)(150047,181032)(150000,200000)	JASDQU010109179.1	175000	1182	0.240324
(72,96)(96841,96880)(50000,100000)	JASDQU010109226.1	75000	26	0.107459
(97,245)(102924,103077)(100000,150000)	JASDQU010109226.1	125000	150	0.031746
(2321,3525)(50000,51208)(50000,100000)	JASDQU010109237.1	75000	1206	0.075911
(894,909)(92589,92640)(50000,100000)	JASDQU010109259.1	75000	17	0.058467
(7,464)(56207,56795)(50000,100000)	JASDQU010109280.1	75000	459	0.044485
(847,3692)(52964,57624)(50000,100000)	JASDQU010109285.1	75000	2847	0.736193
(292,3452)(120643,127195)(100000,150000)	JASDQU010109345.1	125000	3162	0.588327
(164,396)(76726,77002)(50000,100000)	JASDQU010109351.1	75000	234	0.206540
(315,469)(109361,109518)(100000,150000)	JASDQU010109385.1	125000	156	0.494810
(2996,5448)(115251,139143)(100000,150000)	JASDQU010109394.1	125000	2454	0.884227
(5449,6764)(159273,186815)(150000,200000)	JASDQU010109394.1	175000	1317	0.865939
(84,3529)(88183,95690)(50000,100000)	JASDQU010109408.1	75000	3447	0.333331
(899,1583)(65050,99999)(50000,100000)	JASDQU010109438.1	75000	686	0.172347
(272,1206)(50000,55971)(50000,100000)	JASDQU010109471.1	75000	936	0.017672
(1235,2725)(133618,136988)(100000,150000)	JASDQU010109472.1	125000	1492	0.358191
(394,2314)(101051,107184)(100000,150000)	JASDQU010109475.1	125000	1922	0.220300
(248,399)(165881,166392)(150000,200000)	JASDQU010109483.1	175000	153	0.043926
(1069,2792)(50549,80654)(50000,100000)	JASDQU010109506.1	75000	1725	0.131079
(2325,2650)(82365,82708)(50000,100000)	JASDQU010109514.1	75000	327	0.341005
(1378,4125)(101214,105424)(100000,150000)	JASDQU010109516.1	125000	2749	0.864462
(1702,1813)(110694,110810)(100000,150000)	JASDQU010109521.1	125000	113	0.503996
(231,714)(77921,83121)(50000,100000)	JASDQU010109530.1	75000	485	0.110928
(6,900)(100000,102860)(100000,150000)	JASDQU010109551.1	125000	896	0.162144
(1,2730)(109058,127189)(100000,150000)	JASDQU010109553.1	125000	2731	0.145955
(76,410)(62668,78745)(50000,100000)	JASDQU010109572.1	75000	336	0.229074
(951,2213)(61430,86887)(50000,100000)	JASDQU010109603.1	75000	1264	0.062096
(14,414)(89159,97365)(50000,100000)	JASDQU010109609.1	75000	402	0.066526
(1016,1631)(96484,97233)(50000,100000)	JASDQU010109656.1	75000	617	0.024509
(209,636)(218962,219389)(200000,250000)	JASDQU010109682.1	225000	429	0.501864
(103,775)(132543,133239)(100000,150000)	JASDQU010109692.1	125000	674	0.324054
(17,18)(68700,68701)(50000,100000)	JASDQU010171966.1	75000	3	0.059625
(6397,6665)(100898,101233)(100000,150000)	JASDQU010172412.1	125000	270	0.333189
(427,1392)(77885,82431)(50000,100000)	JASDQU010186743.1	75000	967	0.025950
(1393,3047)(302108,303894)(300000,350000)	JASDQU010186743.1	325000	1656	0.274582
(3048,3625)(487321,487979)(450000,500000)	JASDQU010186743.1	475000	579	0.009219
(3626,3881)(503225,503691)(500000,550000)	JASDQU010186743.1	525000	257	0.020797
(2084,2627)(120030,120597)(100000,150000)	JASDQU010187609.1	125000	545	0.534385
(154,1486)(194105,196473)(150000,200000)	JASDQU010192224.1	175000	1334	0.558316
(231,1018)(56925,62757)(50000,100000)	JASDQU010194711.1	75000	789	0.310492
(1253,1556)(50913,51216)(50000,100000)	JASDQU010197169.1	75000	305	0.708509
(123,686)(251418,261056)(250000,300000)	JASDQU010197322.1	275000	565	0.149192
(118,593)(52532,53060)(50000,100000)	JASDQU010205369.1	75000	477	0.415087
(160,333)(54842,55027)(50000,100000)	JASDQU010205628.1	75000	175	0.129316
(991,1222)(55297,55607)(50000,100000)	JASDQU010206420.1	75000	233	0.315718
(591,1453)(53721,54598)(50000,100000)	JASDQU010206909.1	75000	864	0.214653
(1,1161)(54812,55975)(50000,100000)	JASDQU010208541.1	75000	1162	0.015473
(1762,1768)(220481,220487)(200000,250000)	JASDQU010208960.1	225000	8	0.042865
(648,1320)(106593,107273)(100000,150000)	JASDQU010210834.1	125000	674	0.028642
(553,1269)(245540,246261)(200000,250000)	JASDQU010215932.1	225000	718	0.020567
(155,656)(292684,294088)(250000,300000)	JASDQU010229498.1	275000	503	0.088531
(369,1451)(65098,66187)(50000,100000)	JASDQU010240421.1	75000	1084	0.303852
(614,1568)(210885,245822)(200000,250000)	JASDQU010240455.1	225000	956	0.128070
(2299,3767)(150000,151536)(150000,200000)	JASDQU010240480.1	175000	1470	0.516838
(60,864)(56209,59228)(50000,100000)	JASDQU010240492.1	75000	806	0.232686
(652,792)(110816,111163)(100000,150000)	JASDQU010240514.1	125000	142	0.072075
(63,2301)(82725,84970)(50000,100000)	JASDQU010240543.1	75000	2240	0.259675
(112,257)(100960,136318)(100000,150000)	JASDQU010240556.1	125000	147	0.351504
(1886,7392)(81997,87994)(50000,100000)	JASDQU010240571.1	75000	5508	0.178344
(7393,7715)(160702,183551)(150000,200000)	JASDQU010240571.1	175000	324	0.001964
(7716,7719)(233724,233789)(200000,250000)	JASDQU010240571.1	225000	5	0.047746
(626,1048)(57795,97306)(50000,100000)	JASDQU010240616.1	75000	424	0.174486
(3350,8125)(50000,86194)(50000,100000)	JASDQU010240623.1	75000	4777	0.794874
(3379,4883)(113623,115134)(100000,150000)	JASDQU010240624.1	125000	1506	0.574063
(1044,1553)(114015,114531)(100000,150000)	JASDQU010240652.1	125000	511	0.495608
(253,860)(201949,202571)(200000,250000)	JASDQU010240674.1	225000	609	0.264595
(1824,2614)(151479,191226)(150000,200000)	JASDQU010240697.1	175000	792	0.084418
(6354,7279)(50000,51090)(50000,100000)	JASDQU010240714.1	75000	927	0.659462
(1260,2079)(101852,102731)(100000,150000)	JASDQU010240716.1	125000	821	0.821087
(1060,3667)(83691,93744)(50000,100000)	JASDQU010240744.1	75000	2609	0.157588
(285,849)(171979,191993)(150000,200000)	JASDQU010240758.1	175000	566	0.046292
(518,1865)(104521,112420)(100000,150000)	JASDQU010240767.1	125000	1349	0.138699
(641,1493)(188170,189023)(150000,200000)	JASDQU010240781.1	175000	854	0.784247
(8,340)(91013,91374)(50000,100000)	JASDQU010240829.1	75000	334	0.673942
(621,950)(72489,72841)(50000,100000)	JASDQU010240846.1	75000	331	0.051268
(487,552)(62121,62214)(50000,100000)	JASDQU010240868.1	75000	67	0.247581
(1235,2861)(53208,55514)(50000,100000)	JASDQU010240888.1	75000	1628	0.847771
(3134,4730)(109744,140186)(100000,150000)	JASDQU010240926.1	125000	1598	0.389993
(58,1905)(74954,77242)(50000,100000)	JASDQU010240927.1	75000	1849	0.740276
(4920,5181)(198860,199125)(150000,200000)	JASDQU010240935.1	175000	263	0.079618
(1860,2960)(50003,52890)(50000,100000)	JASDQU010240943.1	75000	1102	0.619123
(2961,3843)(247744,249999)(200000,250000)	JASDQU010240943.1	225000	884	0.794738
(239,876)(77829,78515)(50000,100000)	JASDQU010240968.1	75000	639	0.309666
(838,4228)(117833,125082)(100000,150000)	JASDQU010240973.1	125000	3392	0.503428
(857,1041)(92097,92325)(50000,100000)	JASDQU010240974.1	75000	186	0.486360
(500,624)(99133,99259)(50000,100000)	JASDQU010240981.1	75000	126	0.054668
(310,3997)(119573,124822)(100000,150000)	JASDQU010241029.1	125000	3689	0.588495
(226,3061)(158075,160961)(150000,200000)	JASDQU010241056.1	175000	2837	0.858778
(522,1052)(139813,140382)(100000,150000)	JASDQU010241097.1	125000	532	0.312982
(111,3127)(86152,90401)(50000,100000)	JASDQU010241109.1	75000	3018	0.245666
(359,912)(50000,50554)(50000,100000)	JASDQU010241112.1	75000	555	0.499030
(295,1336)(252472,255894)(250000,300000)	JASDQU010241141.1	275000	1043	0.625481
(20,161)(99388,99533)(50000,100000)	JASDQU010241144.1	75000	143	0.086032
(698,843)(193861,198918)(150000,200000)	JASDQU010241145.1	175000	147	0.168052
(686,788)(55915,56024)(50000,100000)	JASDQU010241249.1	75000	104	0.078437
(3557,8841)(87225,94393)(50000,100000)	JASDQU010241290.1	75000	5286	0.442686
(8842,9807)(105382,147584)(100000,150000)	JASDQU010241290.1	125000	967	0.525890
(9808,10408)(176506,177114)(150000,200000)	JASDQU010241290.1	175000	602	0.749501
(620,938)(68651,68978)(50000,100000)	JASDQU010241301.1	75000	320	0.789327
(135,770)(266571,267228)(250000,300000)	JASDQU010241323.1	275000	637	0.165595
(350,1124)(110019,114601)(100000,150000)	JASDQU010241330.1	125000	776	0.449083
(806,1308)(119675,139790)(100000,150000)	JASDQU010241345.1	125000	504	0.090036
(25,586)(145609,146232)(100000,150000)	JASDQU010241349.1	125000	563	0.554407
(2994,11327)(51513,79481)(50000,100000)	JASDQU010241366.1	75000	8335	0.378309
(493,976)(197168,198019)(150000,200000)	JASDQU010241489.1	175000	485	0.683498
(348,844)(68527,96839)(50000,100000)	JASDQU010241596.1	75000	498	0.081388
(606,1138)(50000,51933)(50000,100000)	JASDQU010241599.1	75000	534	0.064321
(844,1573)(172016,172780)(150000,200000)	JASDQU010241624.1	175000	731	0.049341
(700,934)(131224,131459)(100000,150000)	JASDQU010241677.1	125000	236	0.157263
(4584,6593)(69080,87776)(50000,100000)	JASDQU010241681.1	75000	2011	0.485387
(9,262)(76193,76713)(50000,100000)	JASDQU010241697.1	75000	255	-0.004399
(369,3166)(73708,79426)(50000,100000)	JASDQU010241714.1	75000	2799	0.774894
(1,963)(94427,95394)(50000,100000)	JASDQU010241723.1	75000	964	0.647705
(1279,1743)(250253,255080)(250000,300000)	JASDQU010241738.1	275000	466	0.378533
(103,198)(213265,213362)(200000,250000)	JASDQU010241757.1	225000	97	0.093701
(77,728)(115795,123544)(100000,150000)	JASDQU010241761.1	125000	653	0.403370
(1274,2096)(89199,90065)(50000,100000)	JASDQU010241796.1	75000	824	0.463549
(333,1701)(65230,66659)(50000,100000)	JASDQU010241817.1	75000	1370	0.564361
(1401,1570)(154698,155057)(150000,200000)	JASDQU010241819.1	175000	171	0.042727
(687,1184)(178239,178770)(150000,200000)	JASDQU010241821.1	175000	499	0.234996
(4714,5033)(118560,119055)(100000,150000)	JASDQU010241830.1	125000	321	0.400178
(59,2787)(80600,87905)(50000,100000)	JASDQU010241919.1	75000	2730	0.314937
(452,1090)(80168,80846)(50000,100000)	JASDQU010241978.1	75000	640	0.111626
(123,1313)(177766,178962)(150000,200000)	JASDQU010242010.1	175000	1192	0.632145
(38,4065)(50000,60123)(50000,100000)	JASDQU010242042.1	75000	4029	0.563393
(658,908)(154874,155125)(150000,200000)	JASDQU010242113.1	175000	252	0.049996
(2526,2826)(290339,290778)(250000,300000)	JASDQU010242150.1	275000	302	0.780695
(1411,2890)(100000,101485)(100000,150000)	JASDQU010242161.1	125000	1481	0.515256
(253,1249)(109957,127744)(100000,150000)	JASDQU010242171.1	125000	998	0.134851
(169,2846)(335312,338511)(300000,350000)	JASDQU010242224.1	325000	2679	0.432389
(1081,1431)(116860,149999)(100000,150000)	JASDQU010242248.1	125000	352	0.631464
(2359,3142)(143369,144657)(100000,150000)	JASDQU010242256.1	125000	785	0.026574
(81,516)(68650,69181)(50000,100000)	JASDQU010242311.1	75000	437	0.019008
(1469,2664)(96900,98133)(50000,100000)	JASDQU010242316.1	75000	1197	0.268262
(514,3497)(74198,79554)(50000,100000)	JASDQU010242322.1	75000	2985	0.293536
(968,1843)(216272,217183)(200000,250000)	JASDQU010242333.1	225000	877	0.723237
(1188,1239)(127864,127933)(100000,150000)	JASDQU010242338.1	125000	53	0.118937
(111,573)(62255,62764)(50000,100000)	JASDQU010242370.1	75000	464	0.302372
(155,640)(58096,62132)(50000,100000)	JASDQU010242386.1	75000	487	0.022264
(2210,3240)(63172,99837)(50000,100000)	JASDQU010242389.1	75000	1032	0.070737
(489,635)(56071,56219)(50000,100000)	JASDQU010242395.1	75000	148	0.129471
(421,518)(51951,52077)(50000,100000)	JASDQU010242400.1	75000	99	0.402261
(296,629)(150819,151155)(150000,200000)	JASDQU010242421.1	175000	335	0.262579
(676,717)(99363,99431)(50000,100000)	JASDQU010242445.1	75000	43	0.113612
(1849,2675)(50000,52047)(50000,100000)	JASDQU010242544.1	75000	828	0.512109
(682,1385)(78498,79205)(50000,100000)	JASDQU010242608.1	75000	705	0.069580
(442,1154)(101231,102012)(100000,150000)	JASDQU010242617.1	125000	714	0.166143
(798,833)(66411,66448)(50000,100000)	JASDQU010242642.1	75000	37	0.066345
(1709,2435)(153580,154311)(150000,200000)	JASDQU010242667.1	175000	728	0.439693
(136,1152)(53818,54843)(50000,100000)	JASDQU010242680.1	75000	1018	0.458303
(200,1142)(76093,78445)(50000,100000)	JASDQU010242706.1	75000	944	0.492378
(1161,1523)(78580,78949)(50000,100000)	JASDQU010242714.1	75000	364	0.077801
(832,1045)(116035,116312)(100000,150000)	JASDQU010242735.1	125000	215	0.085162
(1664,1810)(99786,99999)(50000,100000)	JASDQU010242770.1	75000	148	0.712425
(888,1226)(105108,105479)(100000,150000)	JASDQU010242775.1	125000	340	0.764463
(347,581)(104981,118513)(100000,150000)	JASDQU010242785.1	125000	236	0.020022
(27,1510)(162295,163779)(150000,200000)	JASDQU010242807.1	175000	1485	0.234275
(223,1195)(89396,90371)(50000,100000)	JASDQU010242817.1	75000	974	0.290393
(497,974)(53141,53736)(50000,100000)	JASDQU010242833.1	75000	479	0.244596
(921,3743)(56294,99229)(50000,100000)	JASDQU010242859.1	75000	2824	0.195085
(3744,4155)(114276,144600)(100000,150000)	JASDQU010242859.1	125000	413	0.207147
(997,4762)(50884,86938)(50000,100000)	JASDQU010242882.1	75000	3767	0.396356
(84,167)(124002,128663)(100000,150000)	JASDQU010242884.1	125000	85	0.273999
(1006,1145)(59373,59518)(50000,100000)	JASDQU010242903.1	75000	141	0.005830
